food_code,food_name,scientific_name,food_group,regions_measured,energy_kcal,water_g,protein_g,fat_g,carbohydrate_g,fiber_g,iron_mg,calcium_mg,zinc_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,thiamine_b1_mg,riboflavin_b2_mg,niacin_b3_mg,vitamin_b6_mg,folate_b9_ug,vitamin_a_retinol_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,vitamin_b12_ug
E018,"Dates, dry, dark brown",Phoenix dactylifera,Fruits,2,310.9,13.13,2.38,0.35,72.67,9.1,4.79,66.13,0.58,75.23,70.26,782.0,3.09,3.84,0.02,0.03,1.09,0.153,12.8,0.0,0.68,0.01,4.53,not measured in IFCT 2017
E019,"Dates, processed",Phoenix dactylifera,Fruits,2,286.1,22.01,1.18,0.41,67.95,6.52,0.89,15.73,0.42,14.34,33.88,289.0,1.6,15.51,0.05,0.02,0.51,0.06,24.53,0.0,0.83,0.02,4.93,not measured in IFCT 2017
E020,Fig,Ficus Carica,Fruits,6,81.5,75.6,2.03,0.37,16.28,4.64,0.69,78.52,0.22,26.18,21.62,231.0,2.37,16.92,0.04,0.02,0.27,0.15,13.67,0.0,1.47,0.42,5.75,not measured in IFCT 2017
E021,Goosberry,Emblica officinalis,Fruits,5,23.7,87.02,0.34,0.16,4.39,7.75,1.25,20.14,0.05,6.5,21.85,223.0,1.37,252.0,0.01,0.03,0.12,0.27,7.86,0.0,0.27,0.11,1.64,not measured in IFCT 2017
E022,"Grapes, seeded, round, black",Vitis vinifera,Fruits,4,60.7,83.88,0.76,0.32,13.23,1.35,0.22,10.57,0.05,7.47,21.04,171.0,1.93,18.3,0.03,0.03,0.14,0.11,8.69,0.0,6.19,0.05,3.65,not measured in IFCT 2017
E023,"Grapes, seeded, round, green",Vitis vinifera,Fruits,5,56.2,85.07,0.77,0.29,12.19,1.25,0.24,11.16,0.05,6.87,19.5,166.0,1.89,17.1,0.03,0.02,0.13,0.09,8.35,0.0,3.59,0.07,7.26,not measured in IFCT 2017
E024,"Grapes, seeded, round, red",Vitis vinifera,Fruits,5,58.3,84.46,0.95,0.29,12.55,1.28,0.33,11.27,0.07,7.06,27.91,188.0,1.59,20.59,0.04,0.03,0.1,0.1,7.49,0.0,6.87,0.07,5.2,not measured in IFCT 2017
E025,"Grapes, seedless, oval, black",Vitis vinifera,Fruits,5,94.4,75.3,1.41,0.46,20.48,1.64,0.28,15.26,0.1,11.29,29.02,237.0,1.83,27.32,0.03,0.02,0.15,0.11,7.22,0.0,6.42,0.05,3.4,not measured in IFCT 2017
E026,"Grapes, seedless, round, green",Vitis vinifera,Fruits,5,53.5,85.55,0.62,0.26,11.81,1.28,0.24,14.22,0.05,8.43,20.27,168.0,1.81,16.47,0.04,0.03,0.12,0.08,8.31,0.0,3.54,0.08,7.15,not measured in IFCT 2017
E027,"Grapes, seedless, round, black",Vitis vinifera,Fruits,5,89.4,76.9,1.24,0.35,19.86,1.15,0.39,18.75,0.09,10.8,26.68,235.0,1.92,22.79,0.03,0.03,0.13,0.08,8.89,0.0,6.23,0.06,3.0,not measured in IFCT 2017
E028,"Guava, white flesh",Psidium guajava,Fruits,5,32.3,83.79,1.44,0.32,5.13,8.59,0.32,18.52,0.23,15.26,23.54,283.0,2.87,214.0,0.05,0.04,0.6,0.11,29.76,0.0,1.68,0.06,3.68,not measured in IFCT 2017
E029,"Guava, pink flesh",Psidium guajava,Fruits,5,46.6,81.22,1.19,0.25,9.14,7.39,0.4,14.22,0.21,13.26,29.93,270.0,1.89,222.0,0.03,0.03,0.59,0.16,32.17,0.0,0.93,0.07,5.35,not measured in IFCT 2017
E030,"Jack fruit, ripe",Artocarpus heterophyllus,Fruits,5,72.2,78.56,2.74,0.15,14.01,3.62,0.36,35.03,0.17,31.84,23.02,279.0,1.62,6.73,0.05,0.01,0.42,0.22,32.15,0.0,7.49,0.06,37.0,not measured in IFCT 2017
E031,"Jambu fruit, ripe",Syzygium samarangense,Fruits,2,56.2,83.33,0.82,0.17,12.3,3.07,0.33,25.36,0.06,27.97,9.6,103.0,2.64,16.47,0.02,0.02,0.14,0.03,7.63,0.0,0.82,0.04,7.94,not measured in IFCT 2017
E032,Karonda fruit,Carissa carandas,Fruits,1,33.7,86.04,1.15,1.67,2.87,7.25,0.87,10.81,0.25,24.45,32.62,351.0,2.55,135.0,0.01,0.02,0.25,0.08,8.72,0.0,1.43,0.04,2.5,not measured in IFCT 2017
E033,"Lemon, juice",Citrus limon,Fruits,6,36.6,91.59,0.41,0.75,0.0,0.0,0.12,22.68,0.08,8.9,9.86,113.0,1.21,48.16,0.04,0.01,0.1,0.03,12.43,0.0,0.39,0.06,1.8,not measured in IFCT 2017
E034,"Lime, sweet, pulp",Citrus limetta,Fruits,6,27.2,91.32,0.76,0.2,5.18,2.07,0.11,25.79,0.05,15.4,20.55,182.0,1.17,46.96,0.06,0.01,0.17,0.05,15.38,0.0,0.3,0.07,2.2,not measured in IFCT 2017
E035,Litchi,Litchi chinensis,Fruits,4,53.8,85.56,0.99,0.26,11.41,1.34,0.79,5.77,0.24,14.58,23.32,161.0,0.54,33.82,0.02,0.06,0.23,0.07,15.69,0.0,0.33,0.06,7.81,not measured in IFCT 2017
E036,"Mango, ripe, banganapalli",Mangifera indica,Fruits,6,41.8,88.44,0.54,0.55,8.18,1.88,0.51,15.77,0.12,13.35,11.07,144.0,1.34,32.97,0.03,0.04,0.26,0.12,82.05,0.0,3.71,0.26,4.77,not measured in IFCT 2017
E037,"Mango, ripe, gulabkhas",Mangifera indica,Fruits,2,50.0,86.65,0.52,0.53,10.32,1.67,0.38,19.33,0.06,11.53,10.66,115.0,1.39,27.65,0.03,0.04,0.23,0.13,84.35,0.0,3.91,0.19,4.8,not measured in IFCT 2017
E038,"Mango, ripe, himsagar",Mangifera indica,Fruits,3,44.7,88.04,0.46,0.54,9.03,1.55,0.29,15.54,0.12,12.07,12.25,137.0,1.31,49.09,0.03,0.03,0.27,0.1,90.98,0.0,3.73,0.29,4.4,not measured in IFCT 2017
E039,"Mango, ripe, kesar",Mangifera indica,Fruits,4,55.2,85.07,0.54,0.57,11.36,2.02,0.43,15.74,0.1,12.53,12.36,143.0,1.43,29.08,0.03,0.04,0.26,0.1,90.43,0.0,3.68,0.24,4.75,not measured in IFCT 2017
E040,"Mango, ripe, neelam",Mangifera indica,Fruits,2,42.5,88.41,0.68,0.55,8.21,1.77,0.36,11.36,0.07,10.1,11.63,137.0,1.2,29.93,0.03,0.04,0.23,0.12,68.7,0.0,3.72,0.24,5.0,not measured in IFCT 2017
E041,"Mango, ripe, paheri",Mangifera indica,Fruits,2,44.9,87.69,0.68,0.58,8.67,1.97,0.51,15.11,0.2,14.28,15.18,153.0,1.63,30.75,0.03,0.04,0.28,0.23,65.28,0.0,3.62,0.35,4.8,not measured in IFCT 2017
E042,"Mango, ripe, totapari",Mangifera indica,Fruits,1,59.3,84.14,0.41,0.49,12.75,1.73,0.28,13.34,0.08,12.55,9.87,160.0,1.32,25.26,0.02,0.05,0.27,0.12,77.69,0.0,3.77,0.27,4.6,not measured in IFCT 2017
E043,Mangosteen,Garcinia mangostana,Fruits,1,52.3,85.52,0.63,0.24,11.41,1.87,0.28,4.69,0.21,12.0,7.18,46.93,3.79,26.33,0.01,0.01,0.58,0.18,13.52,0.0,0.0,0.05,5.5,not measured in IFCT 2017
E044,Manila tamarind,Pithecellobium dulce,Fruits,1,81.7,74.54,3.56,1.14,13.54,4.4,0.71,8.51,0.56,32.98,73.53,376.0,1.35,55.78,0.18,0.14,0.4,0.04,4.24,0.0,0.0,0.38,33.18,not measured in IFCT 2017
E045,"Musk melon, orange flesh",Cucumis melon,Fruits,5,23.2,92.97,0.42,0.35,4.24,1.51,0.18,9.8,0.09,11.62,17.28,206.0,14.94,22.76,0.01,0.01,0.41,0.05,22.31,0.0,4.41,0.01,5.7,not measured in IFCT 2017
E046,"Musk melon, yellow flesh",Cucumis melo,Fruits,6,27.7,91.84,0.53,0.26,5.4,1.49,0.21,9.02,0.09,9.81,13.09,196.0,15.78,21.32,0.01,0.02,0.43,0.06,20.23,0.0,2.33,0.02,1.74,not measured in IFCT 2017
E047,"Orange, pulp",Citrus aurantium,Fruits,6,37.3,89.61,0.7,0.13,7.92,1.29,0.81,19.52,0.04,11.05,12.9,164.0,1.47,42.72,0.07,0.02,0.28,0.04,19.46,0.0,0.34,0.03,2.5,not measured in IFCT 2017
E048,"Palm fruit, tender",Borassus flabellifer,Fruits,1,24.1,91.93,0.5,0.12,4.92,2.4,0.0,0.0,0.05,0.0,0.0,158.0,1.25,0.25,0.01,0.46,0.0,0.07,24.4,0.0,0.0,0.01,3.6,not measured in IFCT 2017
E049,"Papaya, ripe",Carcia papaya,Fruits,6,23.9,91.47,0.42,0.16,4.61,2.83,0.23,15.02,0.08,10.97,17.73,173.0,6.68,43.09,0.03,0.11,0.33,0.04,60.9,0.0,11.47,0.03,2.59,not measured in IFCT 2017
E050,Peach,Prunus communis,Fruits,1,40.2,88.31,0.86,0.37,7.82,2.13,0.35,6.98,0.1,8.06,19.08,281.0,1.15,5.49,0.02,0.02,0.29,0.1,6.34,0.0,2.41,0.02,4.4,not measured in IFCT 2017
E051,Pear,Pyrus sp.,Fruits,6,37.5,86.49,0.36,0.27,8.09,4.48,0.28,6.55,0.07,7.61,6.74,106.0,1.64,3.31,0.02,0.02,0.13,0.09,5.28,0.0,1.48,0.29,12.57,not measured in IFCT 2017
E052,Phalsa,Grewia asiatica,Fruits,2,71.5,77.48,1.66,0.14,15.09,4.54,2.01,153.0,0.48,76.92,23.65,362.0,1.99,5.11,0.03,0.06,0.4,0.03,22.56,0.0,1.34,0.87,5.36,not measured in IFCT 2017
E053,Pineapple,Ananas comosus,Fruits,6,43.0,86.06,0.52,0.16,9.42,3.46,0.28,10.88,0.1,12.68,13.56,143.0,1.43,36.37,0.05,0.03,0.12,0.13,18.21,0.0,0.21,0.36,2.4,not measured in IFCT 2017
E054,Plum,Prunus domestica,Fruits,3,56.9,84.44,0.64,0.4,12.1,2.07,0.25,7.61,0.1,7.79,13.83,162.0,1.55,2.26,0.02,0.02,0.44,0.05,14.29,0.0,3.32,0.5,8.5,not measured in IFCT 2017
E055,"Pomegranate, maroon seeds",Punica granatum,Fruits,6,54.7,83.55,1.33,0.15,11.58,2.83,0.31,10.65,0.18,11.07,27.2,206.0,2.13,12.69,0.06,0.01,0.2,0.29,38.64,0.0,109.0,0.01,18.5,not measured in IFCT 2017
E056,Pummelo,Citrus maxima,Fruits,3,50.2,86.97,0.68,0.42,10.64,0.8,0.06,14.03,0.06,6.83,13.99,189.0,1.06,48.89,0.06,0.02,0.23,0.04,13.44,0.0,0.98,0.46,4.88,not measured in IFCT 2017
E057,"Raisins, dried, black",Vitis vinifera,Fruits,6,305.7,19.69,2.57,0.34,71.29,3.92,6.81,73.24,0.22,33.76,77.62,1105.0,10.99,2.05,0.09,0.04,0.48,0.17,38.3,0.0,1.76,0.01,1.63,not measured in IFCT 2017
E058,"Raisins, dried, golden",Vitis vinifera,Fruits,6,296.6,21.5,2.76,0.35,68.79,4.56,4.26,51.83,0.25,28.32,93.3,913.0,10.16,1.85,0.09,0.04,0.64,0.17,34.68,0.0,11.87,0.01,1.71,not measured in IFCT 2017
E059,Rambutan,Nephelium lappaceum,Fruits,1,73.1,80.87,0.68,0.16,16.84,1.02,0.37,8.67,0.53,21.38,6.98,131.0,1.75,65.0,0.11,0.01,0.26,0.04,7.35,0.0,2.4,0.08,19.7,not measured in IFCT 2017
E060,Sapota,Achras sapota,Fruits,6,73.4,73.64,0.92,1.26,13.9,9.6,0.49,17.87,0.18,16.19,22.26,280.0,4.61,20.96,0.01,0.03,0.24,0.12,10.83,0.0,0.65,0.25,4.3,not measured in IFCT 2017
E061,Soursop,Annona muricata,Fruits,1,62.1,80.85,0.74,0.94,11.94,4.95,0.29,10.05,0.12,17.7,25.83,264.0,6.78,59.54,0.03,0.04,0.85,0.03,6.09,0.0,3.24,0.06,2.6,not measured in IFCT 2017
E062,Star fruit,Averrhoa carambola,Fruits,1,26.3,91.18,0.79,0.39,4.51,2.81,0.45,4.97,0.24,11.53,11.67,159.0,1.56,33.55,0.08,0.02,0.34,0.06,8.43,0.0,0.96,0.4,2.0,not measured in IFCT 2017
E063,Strawberry,Fragaria ananassa,Fruits,6,24.6,92.03,0.97,0.56,3.4,2.5,0.36,15.28,0.14,15.53,26.31,140.0,1.19,50.2,0.06,0.01,0.48,0.09,8.91,0.0,3.95,0.26,19.81,not measured in IFCT 2017
E064,"Tamarind, pulp",Tamarindus indicus,Fruits,6,288.5,20.83,2.92,0.15,67.35,5.31,9.16,149.0,0.58,82.73,113.0,836.0,24.92,3.62,0.34,0.07,1.56,0.08,9.79,0.0,25.65,0.1,1.67,not measured in IFCT 2017
E065,"Water melon, dark green (sugar baby)",Citrullus vulgaris,Fruits,6,20.3,94.54,0.6,0.16,3.86,0.7,0.22,5.29,0.1,9.91,11.33,124.0,1.89,13.26,0.02,0.02,0.28,0.1,5.88,0.0,0.56,0.04,2.1,not measured in IFCT 2017
E066,"Water melon, pale green",Citrullus vulgaris,Fruits,6,16.7,95.33,0.59,0.16,3.02,0.78,0.16,4.35,0.07,7.42,8.09,126.0,1.62,11.45,0.02,0.02,0.3,0.07,5.55,0.0,0.56,0.05,2.8,not measured in IFCT 2017
E067,Wood apple,Limonia acidissima,Fruits,3,78.2,79.36,3.14,3.62,7.52,5.21,0.45,55.71,0.31,23.7,84.32,347.0,1.48,22.17,0.04,0.01,0.55,0.17,6.51,0.0,28.71,0.01,6.8,not measured in IFCT 2017
E068,Zizyphus,Zizyphus jujuba,Fruits,1,48.8,84.39,1.34,0.35,9.4,3.73,0.4,46.55,0.1,16.72,32.38,237.0,1.52,60.93,0.01,0.02,0.33,0.11,5.99,0.0,16.7,0.02,2.5,not measured in IFCT 2017
F001,Beetroot,Beta vulgaris,Roots and Tubers,6,35.6,86.95,1.95,0.14,6.18,3.31,0.76,17.28,0.3,33.21,36.33,306.0,69.44,5.26,0.01,0.01,0.21,0.07,97.37,0.0,0.18,0.09,2.98,not measured in IFCT 2017
F002,"Carrot, orange",Dacus carota,Roots and Tubers,6,33.2,87.69,0.95,0.47,5.55,4.18,0.6,35.09,0.25,16.73,43.06,273.0,52.33,6.22,0.04,0.03,0.22,0.11,24.04,0.0,1.36,0.19,18.35,not measured in IFCT 2017
F003,"Carrot, red",Dacus carota,Roots and Tubers,4,38.2,86.07,1.04,0.47,6.71,4.49,0.71,41.06,0.34,18.83,25.81,267.0,60.69,6.76,0.04,0.03,0.25,0.07,23.67,0.0,1.39,0.19,18.75,not measured in IFCT 2017
F004,Colocasia,Colocasia antiquorum,Roots and Tubers,6,88.9,73.49,3.31,0.17,17.85,3.22,0.66,30.18,0.41,36.93,81.16,514.0,4.54,1.83,0.06,0.03,0.51,0.17,19.91,0.0,0.27,0.32,3.15,not measured in IFCT 2017
F005,Lotus root,Nelumbium nelumbo,Roots and Tubers,3,79.3,76.26,1.94,0.93,14.67,4.7,3.34,37.71,0.35,26.58,74.3,611.0,20.63,26.63,0.07,0.05,0.43,0.19,26.49,0.0,0.27,0.73,44.45,not measured in IFCT 2017
F006,"Potato, brown skin, big",Solanum tuberosum,Roots and Tubers,6,69.8,80.72,1.54,0.23,14.89,1.71,0.57,9.52,0.28,24.07,43.42,541.0,4.11,23.15,0.06,0.01,1.04,0.1,15.51,0.0,0.19,0.06,2.12,not measured in IFCT 2017
F007,"Potato, brown skin, small",Solanum tuberosum,Roots and Tubers,1,60.9,82.97,1.35,0.22,12.9,1.69,0.53,8.53,0.38,22.34,37.9,474.0,3.97,26.41,0.05,0.01,1.36,0.12,13.85,0.0,0.22,0.07,1.8,not measured in IFCT 2017
F008,"Potato, red skin",Solanum tuberosum,Roots and Tubers,1,73.1,79.72,1.83,0.22,15.43,1.68,0.66,8.62,0.34,25.54,30.39,501.0,4.36,25.04,0.06,0.01,1.13,0.1,17.83,0.0,0.2,0.06,2.3,not measured in IFCT 2017
F009,"Radish, elongate, red skin",Raphanus sativus,Roots and Tubers,3,32.0,89.32,0.67,0.13,6.71,2.46,0.37,28.44,0.16,13.34,27.51,255.0,24.73,17.63,0.03,0.02,0.31,0.07,24.65,0.0,0.04,0.01,2.1,not measured in IFCT 2017
F010,"Radish, elongate, white skin",Raphanus sativus,Roots and Tubers,6,32.3,89.05,0.77,0.15,6.56,2.65,0.36,30.2,0.22,16.07,30.1,288.0,28.2,19.91,0.02,0.02,0.3,0.07,29.75,0.0,0.05,0.01,2.5,not measured in IFCT 2017
F011,"Radish, round, red skin",Raphanus sativus,Roots and Tubers,1,31.1,89.68,0.89,0.16,6.07,2.29,0.42,35.76,0.18,22.25,28.27,308.0,32.27,15.69,0.03,0.02,0.3,0.07,24.59,0.0,0.05,0.01,2.6,not measured in IFCT 2017
F012,"Radish, round, white skin",Raphanus sativus,Roots and Tubers,2,30.8,89.76,0.8,0.14,6.13,2.37,0.41,34.23,0.17,15.46,29.47,287.0,24.14,14.0,0.03,0.02,0.24,0.07,22.6,0.0,0.04,0.01,1.9,not measured in IFCT 2017
F013,"Sweet potato, brown skin",Ipomoea batatas,Roots and Tubers,4,109.0,69.21,1.33,0.26,24.25,3.99,0.35,27.5,0.16,17.37,42.96,345.0,29.6,17.94,0.07,0.04,0.67,0.12,15.62,0.0,1.26,0.01,3.0,not measured in IFCT 2017
F014,"Sweet potato, pink skin",Ipomoea batatas,Roots and Tubers,3,108.0,69.58,1.27,0.33,23.93,3.94,0.51,28.93,0.14,21.05,37.6,329.0,29.04,22.2,0.06,0.04,0.69,0.09,14.44,0.0,1.64,0.01,3.5,not measured in IFCT 2017
F015,Tapioca,Manihot esculenta,Roots and Tubers,3,79.8,75.23,1.03,0.2,17.81,4.61,0.81,25.89,0.17,23.08,42.55,255.0,10.86,15.51,0.07,0.02,0.45,0.09,25.64,0.0,0.13,0.19,2.8,not measured in IFCT 2017
F016,Water Chestnut,Eleocharis dulcis,Roots and Tubers,1,95.6,73.34,0.86,0.37,21.46,3.02,0.77,37.15,0.67,57.43,62.83,382.0,13.08,5.26,0.02,0.02,0.74,0.13,9.8,0.0,1.2,0.09,3.5,not measured in IFCT 2017
F017,"Yam, elephant",Amorphophallus paeoniifolius,Roots and Tubers,6,84.4,74.39,2.56,0.14,17.46,4.17,1.22,46.91,0.26,33.51,43.06,501.0,14.33,15.22,0.04,0.05,0.61,0.22,20.54,0.0,1.3,0.06,4.8,not measured in IFCT 2017
F018,"Yam, ordinary",Dioscorea strydomiana,Roots and Tubers,4,83.4,74.28,2.18,0.17,17.65,4.08,0.77,16.19,0.33,30.4,49.46,463.0,15.28,13.88,0.04,0.02,0.56,0.17,15.68,0.0,0.23,0.23,5.5,not measured in IFCT 2017
F019,"Yam, wild",Dioscorea villosa,Roots and Tubers,2,102.8,69.35,3.07,0.3,20.95,4.57,1.04,44.13,0.31,31.75,55.94,654.0,12.8,14.06,0.121,0.015,0.7,0.2,21.01,0.0,1.18,0.4,6.0,not measured in IFCT 2017
G001,"Chillies, green-1",Capsicum annum,Condiments and Spices,5,45.7,84.47,2.62,0.73,6.32,4.86,1.46,24.1,0.31,34.72,62.16,431.0,3.32,79.5,0.11,0.09,0.8,0.45,25.31,0.0,3.14,0.07,20.12,not measured in IFCT 2017
G002,"Chillies, green-2",Capsicum annum,Condiments and Spices,3,39.9,85.72,2.28,0.75,5.27,5.13,1.24,16.86,0.26,27.54,51.72,321.0,2.47,90.97,0.08,0.09,0.93,0.29,25.93,0.0,3.49,0.06,19.51,not measured in IFCT 2017
G003,"Chillies, green-3",Capsicum annum,Condiments and Spices,5,40.4,85.59,2.38,0.75,5.23,5.1,1.25,18.04,0.27,29.9,50.24,317.0,2.56,93.63,0.09,0.11,0.87,0.24,20.45,0.0,3.17,0.06,18.05,not measured in IFCT 2017
G004,"Chillies, green-4",Capsicum annum,Condiments and Spices,3,45.4,85.29,2.33,0.74,6.63,4.15,1.08,15.87,0.28,29.74,42.79,318.0,1.94,102.0,0.09,0.12,0.9,0.18,15.92,0.0,2.87,0.07,22.16,not measured in IFCT 2017
G005,"Chillies, green-5",Capsicum annum,Condiments and Spices,2,43.0,85.93,2.01,0.65,6.64,3.95,0.93,15.31,0.31,23.96,44.35,317.0,2.19,97.77,0.08,0.16,1.06,0.2,17.75,0.0,3.26,0.08,15.7,not measured in IFCT 2017
G006,"Chillies, green-6",Capsicum annum,Condiments and Spices,1,41.8,84.93,3.01,0.64,5.31,5.15,0.75,24.82,0.29,34.8,56.05,340.0,2.43,108.0,0.07,0.13,0.92,0.29,18.87,0.0,2.19,0.07,18.0,not measured in IFCT 2017
G007,"Chillies, green-7",Capsicum annum,Condiments and Spices,1,39.0,85.83,2.12,0.6,5.61,4.95,1.23,16.85,0.17,26.71,45.58,319.0,2.0,112.0,0.08,0.11,0.8,0.22,19.39,0.0,2.43,0.04,19.5,not measured in IFCT 2017
G008,"Chillies, green - all varieties",Capsicum annum,Condiments and Spices,6,42.3,85.39,2.36,0.72,5.86,4.77,1.2,18.45,0.27,29.51,50.91,341.0,2.5,94.07,0.09,0.11,0.89,0.28,21.5,0.0,3.11,0.06,19.18,not measured in IFCT 2017
G009,Coriander leaves,Coriandrum sativum,Condiments and Spices,6,31.1,86.99,3.52,0.7,1.93,4.66,5.3,146.0,0.68,72.68,64.69,546.0,37.0,23.87,0.09,0.05,0.73,0.19,51.01,0.0,3.55,0.42,274.0,not measured in IFCT 2017
G010,Curry leaves,Murraya koenigii,Condiments and Spices,6,63.6,65.33,7.41,1.06,4.51,16.83,8.67,659.0,1.18,182.0,83.29,584.0,18.66,6.04,0.07,0.13,0.85,0.57,117.0,0.0,117.0,1.71,275.0,not measured in IFCT 2017
G011,"Garlic, big cloves",Allium sativum,Condiments and Spices,6,123.8,64.38,6.92,0.16,21.93,5.22,1.05,20.08,0.89,27.08,119.0,430.0,9.42,12.62,0.2,0.25,0.38,0.56,85.77,0.0,1.88,0.07,2.8,not measured in IFCT 2017
G012,"Garlic, small cloves",Allium sativum,Condiments and Spices,3,122.8,64.42,6.75,0.14,21.84,5.47,0.88,17.63,0.81,25.78,116.0,453.0,10.56,13.57,0.2,0.23,0.36,0.77,78.82,0.0,1.97,0.06,3.2,not measured in IFCT 2017
G013,"Garlic, single clove, Kashmir",Allium sativum,Condiments and Spices,1,125.0,64.49,6.12,0.16,23.46,4.01,1.01,19.0,0.66,41.13,128.0,584.0,8.87,15.38,0.25,0.22,0.42,0.97,92.25,0.0,2.89,0.05,4.5,not measured in IFCT 2017
G014,"Ginger, fresh",Zinziber officinale,Condiments and Spices,6,55.0,81.27,2.22,0.85,8.97,5.36,1.9,18.88,0.39,54.66,44.36,407.0,10.03,5.43,0.04,0.04,0.42,0.2,10.82,0.0,4.09,0.28,25.55,not measured in IFCT 2017
G015,Mango ginger,Curcuma amada,Condiments and Spices,3,42.3,84.55,1.45,0.7,6.98,4.74,2.31,13.74,0.47,36.86,68.33,384.0,5.51,1.62,0.02,0.07,0.45,0.18,22.62,0.0,3.1,0.35,27.71,not measured in IFCT 2017
G016,Mint leaves,Mentha spicata,Condiments and Spices,4,37.0,84.24,4.66,0.65,2.39,5.89,8.56,205.0,0.75,110.0,65.25,539.0,16.87,17.16,0.02,0.19,0.74,0.17,106.0,0.0,3.37,0.45,164.0,not measured in IFCT 2017
G017,"Onion, big",Allium cepa,Condiments and Spices,6,48.0,85.76,1.5,0.24,9.56,2.45,0.43,21.03,0.35,17.96,32.34,171.0,5.5,6.69,0.04,0.01,0.34,0.1,28.88,0.0,0.73,0.05,4.5,not measured in IFCT 2017
G018,"Onion, small",Allium cepa,Condiments and Spices,5,56.6,84.67,1.82,0.16,11.58,1.16,0.53,19.92,0.24,15.16,39.65,160.0,4.06,10.96,0.07,0.02,0.21,0.12,29.68,0.0,0.12,0.06,5.3,not measured in IFCT 2017
G019,Asafoetida,Ferula assa-foetida,Condiments and Spices,6,331.5,9.42,6.34,1.26,71.95,5.13,15.68,266.0,0.98,96.4,69.09,245.0,16.04,0.0,0.82,0.01,0.43,0.02,26.28,0.0,12.59,0.73,46.56,not measured in IFCT 2017
G020,"Cardamom, green",Elettaria cardamomum,Condiments and Spices,6,255.0,11.24,8.1,2.6,47.76,23.1,8.33,378.0,3.71,330.0,132.0,1262.0,15.51,0.0,0.12,0.07,1.13,0.15,2.85,0.0,43.72,0.14,6.81,not measured in IFCT 2017
G021,"Cardamom, black",Elettaria cardamomum,Condiments and Spices,4,270.6,6.69,6.69,2.8,52.53,23.46,7.94,312.0,4.75,286.0,117.0,1331.0,16.25,0.0,0.05,0.13,0.52,0.2,4.96,0.0,43.55,0.36,5.74,not measured in IFCT 2017
G022,"Chillies, red",Capsicum annum,Condiments and Spices,6,236.6,14.57,12.69,6.4,29.46,31.15,6.23,99.83,1.66,231.0,280.0,2245.0,19.45,0.0,0.46,0.83,6.94,0.42,51.5,0.0,24.36,0.69,274.0,not measured in IFCT 2017
G023,Cloves,Syzygium aromaticum,Condiments and Spices,6,186.7,26.49,5.86,8.41,18.73,34.52,9.41,567.0,1.13,334.0,83.1,1434.0,183.0,0.0,0.53,0.22,1.15,0.03,32.81,0.0,45.07,0.46,161.0,not measured in IFCT 2017
G024,Coriander seeds,Coriandrum sativum,Condiments and Spices,6,268.9,8.72,10.66,17.47,12.98,44.81,17.64,718.0,3.91,343.0,293.0,1473.0,34.41,0.0,0.19,0.23,1.2,0.04,22.07,0.0,1.31,0.91,35.7,not measured in IFCT 2017
G025,Cumin seeds,Cuminum cyminum,Condiments and Spices,6,304.5,10.59,13.91,16.64,22.62,30.35,20.58,878.0,4.29,442.0,382.0,1886.0,125.0,0.0,0.52,0.13,2.87,0.39,27.79,0.0,12.1,1.49,146.0,not measured in IFCT 2017
G026,Fenugreek seeds,Trigonella foenum graecum,Condiments and Spices,6,234.9,7.82,25.41,5.72,10.57,47.55,8.47,135.0,3.8,167.0,435.0,891.0,40.2,0.0,0.28,0.14,1.19,0.77,51.11,0.0,1.98,0.02,1.5,not measured in IFCT 2017
G027,Mace,Myristica fragrans,Condiments and Spices,6,355.6,20.06,6.24,24.41,26.51,20.31,22.69,174.0,1.16,207.0,110.0,623.0,27.17,0.0,0.13,0.13,0.92,0.3,32.65,0.0,44.92,1.05,70.44,not measured in IFCT 2017
G028,Nutmeg,Myristica fragrans,Condiments and Spices,6,463.7,15.55,6.3,36.52,27.64,11.99,2.33,148.0,1.45,212.0,207.0,474.0,14.31,0.0,0.04,0.05,0.51,0.1,74.78,0.0,46.67,1.18,60.92,not measured in IFCT 2017
G029,Omum,Trachyspermum ammi,Condiments and Spices,6,357.3,9.71,15.89,21.11,24.53,20.58,13.65,1034.0,5.67,273.0,329.0,1692.0,28.58,0.0,0.3,0.23,1.23,0.24,51.79,0.0,2.62,0.01,30.36,not measured in IFCT 2017
G030,Pippali,Piper longum,Condiments and Spices,6,216.5,10.95,10.53,2.27,35.7,34.14,7.99,414.0,1.52,189.0,181.0,1852.0,16.28,0.0,0.06,0.14,1.06,0.6,66.45,0.0,118.0,0.01,93.45,not measured in IFCT 2017
G031,"Pepper, black",Piper nigrum,Condiments and Spices,6,217.5,13.18,10.12,2.74,36.22,33.16,11.91,405.0,1.24,196.0,144.0,1487.0,24.08,0.0,0.06,0.09,0.85,0.27,21.89,0.0,25.68,0.59,171.0,not measured in IFCT 2017
G032,Poppy seeds,Papaver somniferum,Condiments and Spices,6,422.6,4.22,20.31,30.38,12.37,26.68,10.13,1372.0,6.38,393.0,804.0,646.0,25.35,0.0,0.87,0.1,0.77,0.42,78.73,0.0,33.92,1.66,95.18,not measured in IFCT 2017
